covariate,coef,HR,HR_lo,HR_hi,p
has_Send_Reminder,-0.42574864493155057,0.6532805268570232,0.6191950238888735,0.6892423716363439,1.1264602941318377e-54
n_reminders,-0.2849591776817029,0.7520449539112464,0.7289078268270771,0.7759165039635971,1.9145591753147718e-71
has_Declaration_APPROVED_by_BUDGET_OWNER,-0.13017221370031593,0.8779442238775079,0.7532079185429551,1.0233377016679919,0.09593185904156787
has_Permit_APPROVED_by_BUDGET_OWNER,-0.03515931079004477,0.9654515971486782,0.9289778251307049,1.0033574120090434,0.0735536712806149
has_Permit_APPROVED_by_PRE_APPROVER,-0.032926399099157726,0.9676097739193047,0.9092897874143833,1.0296702850325645,0.2992157890437995
last_act_enc,-0.01441935785120357,0.9856841032115572,0.9846261575464803,0.9867431856014933,1.2276268942176817e-152
n_approvals,-0.01249288688218623,0.9875848252761106,0.971253393738863,1.0041908665679034,0.14199488702707352
n_rejections,-0.00889658072853455,0.9911428767468907,0.96651250444117,1.016400923539109,0.4883592857798238
elapsed_days,-0.004243054901020452,0.9957659341382695,0.9954705923167286,0.9960613635834854,6.1522328783640684e-173
case_start_dow,-0.0006507772870749249,0.999349434422536,0.9892531566693495,1.0095487543786026,0.9000385297254643
first_act_enc,0.010544760977032566,1.010600552900787,1.0071473217177862,1.0140656242638155,1.5600183578593592e-09
case_start_month,0.011440338662214057,1.0115060296064426,1.0061232627224101,1.016917594333047,2.641636182684552e-05
has_Permit_REJECTED_by_ADMINISTRATION,0.013479761398433258,1.013571022982531,0.8899270402451062,1.1543937560846622,0.8390722580470522
n_events_prefix,0.025628071444622372,1.0259592939456597,0.9986204976919728,1.0540465324577701,0.06291571336747431
has_Permit_FINAL_APPROVED_by_SUPERVISOR,0.0823383205748135,1.0858231039911477,1.0317973541486904,1.1426776860982972,0.0015664528842129703
has_Declaration_REJECTED_by_EMPLOYEE,0.08393166936565635,1.0875545779756346,1.013795421391846,1.1666801162427045,0.019163797492369915
